dataset = celebA
experiments = /home/uzahid/workspace/QDCGAN/PyTorch/experiments
dry_run = False
log_freq = 50
export = False
resume = None
evaluate = False
fid = False
gpus = [0]
num_workers = 4
batch_size = 128
lr = 0.0002
scheduler = FIXED
epochs = 100
random_seed = None
examples = 1
size = 32
gen_ch = 64
weight_bitwidth = 32
activation_bitwidth = 32
io_bitwidth = 8
Saving checkpoint model to /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/checkpoints/checkpoint_I8W32A32.tar
Epoch: [3/100[1/1582]	Discriminator Loss -15.4906 (-15.4906)	Generator Loss 16.6686 (16.6686)	
Epoch: [3/100[51/1582]	Discriminator Loss -20.9167 (-30.0426)	Generator Loss 10.8169 (14.3930)	
Epoch: [3/100[101/1582]	Discriminator Loss -27.2014 (-29.0052)	Generator Loss 3.0198 (11.9288)	
Epoch: [3/100[151/1582]	Discriminator Loss -24.4800 (-28.0574)	Generator Loss 3.0428 (11.0564)	
Epoch: [3/100[201/1582]	Discriminator Loss -25.7229 (-27.6034)	Generator Loss 21.1692 (10.9663)	
Epoch: [3/100[251/1582]	Discriminator Loss -26.4325 (-27.5180)	Generator Loss 15.1340 (10.8332)	
Epoch: [3/100[301/1582]	Discriminator Loss -25.8061 (-27.1660)	Generator Loss 1.3016 (10.7789)	
Epoch: [3/100[351/1582]	Discriminator Loss -24.9139 (-26.9167)	Generator Loss 12.8199 (10.6758)	
Epoch: [3/100[401/1582]	Discriminator Loss -29.9737 (-26.8787)	Generator Loss -0.3781 (10.8101)	
Epoch: [3/100[451/1582]	Discriminator Loss -34.0486 (-26.8211)	Generator Loss 0.6875 (10.9401)	
Epoch: [3/100[501/1582]	Discriminator Loss -31.0624 (-26.8566)	Generator Loss 28.4369 (11.3085)	
Epoch: [3/100[551/1582]	Discriminator Loss -25.9001 (-26.9713)	Generator Loss 3.6171 (11.3630)	
Epoch: [3/100[601/1582]	Discriminator Loss -25.3327 (-26.8292)	Generator Loss 12.0308 (11.3302)	
Epoch: [3/100[651/1582]	Discriminator Loss -24.1420 (-26.6762)	Generator Loss 12.1508 (11.1294)	
Epoch: [3/100[701/1582]	Discriminator Loss -22.4261 (-26.5544)	Generator Loss 7.5801 (10.9749)	
Epoch: [3/100[751/1582]	Discriminator Loss -24.1327 (-26.5164)	Generator Loss 17.0003 (10.9494)	
Epoch: [3/100[801/1582]	Discriminator Loss -25.6417 (-26.6208)	Generator Loss 22.7395 (11.1947)	
Epoch: [3/100[851/1582]	Discriminator Loss -23.9026 (-26.5619)	Generator Loss -2.0035 (11.1036)	
Epoch: [3/100[901/1582]	Discriminator Loss -32.2606 (-26.5289)	Generator Loss 25.5299 (11.0954)	
Epoch: [3/100[951/1582]	Discriminator Loss -24.2303 (-26.4549)	Generator Loss 13.4144 (11.0126)	
Epoch: [3/100[1001/1582]	Discriminator Loss -25.5814 (-26.3768)	Generator Loss 0.0663 (10.8608)	
Epoch: [3/100[1051/1582]	Discriminator Loss -27.6365 (-26.2981)	Generator Loss 15.6606 (10.8277)	
Epoch: [3/100[1101/1582]	Discriminator Loss -25.4362 (-26.2402)	Generator Loss 5.7346 (10.7477)	
Epoch: [3/100[1151/1582]	Discriminator Loss -23.3610 (-26.1998)	Generator Loss -1.1428 (10.7128)	
Epoch: [3/100[1201/1582]	Discriminator Loss -22.7962 (-26.2037)	Generator Loss 10.1970 (10.7512)	
Epoch: [3/100[1251/1582]	Discriminator Loss -24.2729 (-26.1722)	Generator Loss 3.3699 (10.6794)	
Epoch: [3/100[1301/1582]	Discriminator Loss -25.2341 (-26.0758)	Generator Loss 12.4550 (10.6913)	
Epoch: [3/100[1351/1582]	Discriminator Loss -24.1336 (-25.9826)	Generator Loss 5.9001 (10.6088)	
Epoch: [3/100[1401/1582]	Discriminator Loss -23.5052 (-25.9119)	Generator Loss 0.2992 (10.5042)	
Epoch: [3/100[1451/1582]	Discriminator Loss -24.2254 (-25.8352)	Generator Loss 10.2865 (10.4612)	
Epoch: [3/100[1501/1582]	Discriminator Loss -24.6404 (-25.7809)	Generator Loss 13.5808 (10.4444)	
Epoch: [3/100[1551/1582]	Discriminator Loss -26.2139 (-25.7314)	Generator Loss 8.5117 (10.3525)	
Epoch: [3/100[1582/1582]	Discriminator Loss -24.7968 (-25.6826)	Generator Loss 7.1494 (10.3242)	
FPS: 14154.643628509719
